file,Threads,Concurrency,Math,50%,75%,90%,99%,99.9%,99.99%,99.999%,100%,u50%,u75%,u90%,u99%,u99.9%,u99.99%,u99.999%,u100%,Throughput
./wrk9/wrk_3003_w_2_Light.txt,50,300,1,172.93,293.12,472.06,757.25,1241.09,1794.05,2215.93,2398.21,171.78,291.58,471.04,755.20,1209.34,1451.01,1530.88,2083.84,540035
./wrk9/wrk_3003_w_Heavy.txt,3,3,1,896008.19,1328545.79,1620049.92,1774190.59,1788870.66,1788870.66,1788870.66,1788870.66,11804.67,15876.09,20758.53,31326.21,33128.45,33128.45,33128.45,33128.45,107
./wrk9/wrk_3003_w_Heavy.txt,3,3,1,934805.50,1364197.38,1626341.38,1777336.32,1790967.81,1790967.81,1790967.81,1790967.81,11796.48,16424.96,21266.43,30572.54,32718.85,32718.85,32718.85,32718.85,106
./wrk9/wrk_3003_w_Heavy.txt,3,3,1,887095.30,1367343.10,1621098.50,1783627.77,1797259.26,1797259.26,1797259.26,1797259.26,11894.78,17137.66,22315.01,28196.86,30507.01,30507.01,30507.01,30507.01,106
./wrk9/wrk_3003_w_Light.txt,50,300,1,171.78,245.12,365.06,690.69,929.28,1115.13,1272.83,1318.91,171.01,244.35,364.29,689.66,927.23,1076.22,1211.39,1233.92,540011
./wrk9/wrk_4003_r_Heavy.txt,3,3,0,893386.75,1328545.79,1605369.85,1781530.62,1796210.69,1796210.69,1796210.69,1796210.69,14327.81,21708.80,25935.87,33357.82,39813.12,39813.12,39813.12,39813.12,90
./wrk9/wrk_4003_r_Heavy.txt,3,3,0,893386.75,1318060.03,1630535.68,1778384.90,1796210.69,1796210.69,1796210.69,1796210.69,13148.16,19300.35,26591.23,42270.72,50233.34,50233.34,50233.34,50233.34,91
./wrk9/wrk_4003_r_Heavy.txt,3,3,0,846725.12,1220542.46,1531969.53,1733296.13,1760559.10,1760559.10,1760559.10,1760559.10,14098.43,22069.25,27049.98,47513.60,48300.03,48300.03,48300.03,48300.03,84
./wrk9/wrk_4003_r_Light.txt,50,400,0,192.25,386.30,567.29,1105.92,1945.60,3155.97,4780.03,5349.38,188.93,383.23,562.17,1070.08,1567.74,1963.01,2018.30,2123.78,720050
./wrk9/wrk_4003_w_Heavy.txt,3,3,1,58818.56,83492.86,94896.13,107151.36,107151.36,107151.36,107151.36,107151.36,9961.47,10158.08,10166.27,10805.25,10805.25,10805.25,10805.25,10805.25,9
./wrk9/wrk_4003_w_Heavy.txt,3,3,1,58785.79,82313.21,93650.94,105906.18,105906.18,105906.18,105906.18,105906.18,9936.90,9945.09,9994.24,10010.62,10010.62,10010.62,10010.62,10010.62,9
./wrk9/wrk_4003_w_Heavy.txt,3,3,1,59473.92,82837.50,94109.70,106364.93,106364.93,106364.93,106364.93,106364.93,9977.85,9986.05,9994.24,10444.80,10444.80,10444.80,10444.80,10444.80,9
./wrk9/wrk_4003_w_Light.txt,50,400,1,14.89,29.44,58.08,147.71,193.66,241.41,276.22,276.22,14.18,28.66,57.41,146.43,192.90,240.77,275.45,275.45,45755
