file,Threads,Concurrency,Math,50%,75%,90%,99%,99.9%,99.99%,99.999%,100%,u50%,u75%,u90%,u99%,u99.9%,u99.99%,u99.999%,u100%,Throughput
./wrk6/wrk_2003_w_10min_Light.txt,50,200,1,119.49,235.13,418.56,763.90,997.89,1146.88,1324.03,1328.13,118.72,234.37,417.54,762.88,995.84,1146.88,1323.01,1328.13,120013
./wrk6/wrk_2003_w_10min_v2_Heavy.txt,3,3,1,294387.71,444596.22,532938.75,592969.73,592969.73,592969.73,592969.73,592969.73,10993.66,14712.83,17727.49,20938.75,20938.75,20938.75,20938.75,20938.75,39
./wrk6/wrk_2003_w_10min_v2_Heavy.txt,3,3,1,302252.03,460849.15,531628.03,592969.73,592969.73,592969.73,592969.73,592969.73,10969.09,15114.24,18251.78,25280.51,25280.51,25280.51,25280.51,25280.51,38
./wrk6/wrk_2003_w_10min_v2_Heavy.txt,3,3,1,329777.15,456130.56,544735.23,596639.74,596639.74,596639.74,596639.74,596639.74,10862.59,14393.34,19202.05,22708.22,22708.22,22708.22,22708.22,22708.22,39
./wrk6/wrk_2003_w_10min_v2_Light.txt,50,200,1,98.69,178.81,289.28,591.36,716.29,892.93,1082.37,1085.44,97.92,178.05,288.51,590.34,716.29,891.90,1081.34,1084.41,120002
./wrk6/wrk_3003_r_10min_Heavy.txt,3,3,1,272367.61,420478.97,506200.06,593494.02,593494.02,593494.02,593494.02,593494.02,14516.22,19251.20,26034.17,32473.09,32473.09,32473.09,32473.09,32473.09,31
./wrk6/wrk_3003_r_10min_Heavy.txt,3,3,1,327680.00,461635.58,532152.32,588775.42,588775.42,588775.42,588775.42,588775.42,16605.18,23281.66,25329.66,34635.78,34635.78,34635.78,34635.78,34635.78,29
./wrk6/wrk_3003_r_10min_Heavy.txt,3,3,1,328204.29,472383.49,551550.97,597164.03,597164.03,597164.03,597164.03,597164.03,12066.82,20037.63,23560.19,34406.40,34406.40,34406.40,34406.40,34406.40,33
./wrk6/wrk_3003_r_10min_Light.txt,50,300,1,143.62,361.98,578.56,1135.62,2020.35,2893.82,3463.17,3733.50,140.03,356.61,571.39,1106.94,1575.93,1651.71,1687.55,1792.00,180041
./wrk6/wrk_3003_r_10min_v2_Heavy.txt,3,3,0,312737.79,434372.61,538968.06,588251.14,588251.14,588251.14,588251.14,588251.14,11902.98,20955.13,22953.98,24035.33,24035.33,24035.33,24035.33,24035.33,33
./wrk6/wrk_3003_r_10min_v2_Heavy.txt,3,3,0,290455.55,458489.85,537919.49,597164.03,597164.03,597164.03,597164.03,597164.03,17154.05,23183.36,24215.55,31768.58,31768.58,31768.58,31768.58,31768.58,29
./wrk6/wrk_3003_r_10min_v2_Heavy.txt,3,3,0,314834.94,463208.45,547356.67,589824.00,589824.00,589824.00,589824.00,589824.00,11821.06,17383.42,23019.52,25935.87,25935.87,25935.87,25935.87,25935.87,35
./wrk6/wrk_3003_r_10min_v2_Light.txt,50,300,0,138.62,355.84,588.29,979.46,1437.69,1848.32,2271.23,2594.82,136.32,353.54,585.73,970.24,1291.26,1440.77,1537.02,1998.85,180031
./wrk6/wrk_3003_w_10min_Heavy.txt,3,3,1,302252.03,430440.45,541065.21,594542.59,594542.59,594542.59,594542.59,594542.59,12058.62,16924.67,21413.89,27115.52,27115.52,27115.52,27115.52,27115.52,35
./wrk6/wrk_3003_w_10min_Heavy.txt,3,3,1,277348.35,416022.53,506986.49,589299.71,589299.71,589299.71,589299.71,589299.71,11542.53,12533.76,19464.19,26755.07,26755.07,26755.07,26755.07,26755.07,38
./wrk6/wrk_3003_w_10min_Heavy.txt,3,3,1,294649.85,434896.90,537919.49,583532.54,583532.54,583532.54,583532.54,583532.54,11632.64,15245.31,19578.88,32636.93,32636.93,32636.93,32636.93,32636.93,35
./wrk6/wrk_3003_w_10min_Light.txt,50,300,1,169.85,283.39,443.13,760.83,1003.01,1123.33,1272.83,1336.32,168.96,282.37,442.37,759.29,1001.98,1085.44,1113.09,1249.28,180021
./wrk6/wrk_3003_w_10min_v2_Heavy.txt,3,3,1,276037.63,416284.67,528744.45,589824.00,589824.00,589824.00,589824.00,589824.00,13041.66,18219.01,22511.62,31047.68,31047.68,31047.68,31047.68,31047.68,33
./wrk6/wrk_3003_w_10min_v2_Heavy.txt,3,3,1,283639.81,430964.73,531365.89,599261.18,599261.18,599261.18,599261.18,599261.18,12845.06,15695.87,22265.85,32899.07,32899.07,32899.07,32899.07,32899.07,35
./wrk6/wrk_3003_w_10min_v2_Heavy.txt,3,3,1,310116.35,447479.81,529530.88,587202.56,587202.56,587202.56,587202.56,587202.56,11599.87,14991.36,22315.01,32161.79,32161.79,32161.79,32161.79,32161.79,35
./wrk6/wrk_3003_w_10min_v2_Light.txt,50,300,1,166.78,289.28,466.43,742.40,957.95,1069.06,1127.42,1196.03,166.01,288.51,465.66,740.86,954.37,1065.98,1127.42,1193.98,180033
./wrk6/wrk_4003_r_10min_Heavy.txt,3,3,1,267517.95,421789.70,514064.38,598736.90,598736.90,598736.90,598736.90,598736.90,16924.67,25313.28,26804.22,58064.89,58064.89,58064.89,58064.89,58064.89,26
./wrk6/wrk_4003_r_10min_Heavy.txt,3,3,1,286261.25,414973.95,527171.58,592969.73,592969.73,592969.73,592969.73,592969.73,17612.80,23281.66,25165.82,45744.13,45744.13,45744.13,45744.13,45744.13,27
./wrk6/wrk_4003_r_10min_Heavy.txt,3,3,1,283639.81,436994.05,511967.23,593494.02,593494.02,593494.02,593494.02,593494.02,13418.50,21659.65,25903.10,32587.78,32587.78,32587.78,32587.78,32587.78,30
./wrk6/wrk_4003_r_10min_Light.txt,50,400,1,184.96,388.61,568.32,877.05,1166.34,1400.83,1626.11,1667.07,183.68,387.58,567.29,871.93,1111.04,1190.91,1217.54,1460.22,240050
./wrk6/wrk_4003_w_10min_Heavy.txt,3,3,1,315621.38,443547.65,531103.74,588775.42,588775.42,588775.42,588775.42,588775.42,12763.14,19513.34,24821.76,28999.68,28999.68,28999.68,28999.68,28999.68,32
./wrk6/wrk_4003_w_10min_Heavy.txt,3,3,1,302776.32,448266.24,524288.00,591921.15,591921.15,591921.15,591921.15,591921.15,12861.44,20561.92,23232.51,28672.00,28672.00,28672.00,28672.00,28672.00,32
./wrk6/wrk_4003_w_10min_Heavy.txt,3,3,1,315621.38,456392.70,531365.89,598736.90,598736.90,598736.90,598736.90,598736.90,12673.02,13778.94,17563.65,23003.13,23003.13,23003.13,23003.13,23003.13,37
./wrk6/wrk_4003_w_10min_Light.txt,50,400,1,225.92,347.39,491.52,780.80,1146.88,1370.11,1567.74,1844.22,224.90,346.37,490.50,776.70,1140.73,1211.39,1264.64,1482.75,240009
