file,Threads,Concurrency,Math,50%,75%,90%,99%,99.9%,99.99%,99.999%,100%,u50%,u75%,u90%,u99%,u99.9%,u99.99%,u99.999%,u100%,Throughput
./wrk8/wrk_4003_r_Heavy.txt,3,3,0,94765.05,130875.39,153354.24,166330.37,166330.37,166330.37,166330.37,166330.37,9986.05,10067.97,10608.64,10813.44,10813.44,10813.44,10813.44,10813.44,15
./wrk8/wrk_4003_r_Heavy.txt,3,3,0,95420.41,142344.19,165806.08,177995.77,177995.77,177995.77,177995.77,177995.77,9904.13,9986.05,10051.58,12042.24,12042.24,12042.24,12042.24,12042.24,15
./wrk8/wrk_4003_r_Heavy.txt,3,3,0,94371.84,130154.49,165412.86,177602.56,177602.56,177602.56,177602.56,177602.56,9953.28,9977.85,10248.19,10747.90,10747.90,10747.90,10747.90,10747.90,15
./wrk8/wrk_4003_r_Light.txt,50,400,0,17.14,45.76,117.69,225.41,343.55,372.22,385.79,386.56,16.43,45.05,116.99,224.77,343.04,371.71,385.02,385.54,72049
./wrk8/wrk_4003_w_Heavy.txt,3,3,1,93847.55,129564.67,165150.72,177340.42,177340.42,177340.42,177340.42,177340.42,9977.85,9986.05,10182.66,10575.87,10575.87,10575.87,10575.87,10575.87,15
./wrk8/wrk_4003_w_Heavy.txt,3,3,1,93650.94,140771.33,164626.43,176685.05,176685.05,176685.05,176685.05,176685.05,9953.28,9977.85,10035.20,10092.54,10092.54,10092.54,10092.54,10092.54,15
./wrk8/wrk_4003_w_Heavy.txt,3,3,1,93847.55,141033.47,164626.43,176947.20,176947.20,176947.20,176947.20,176947.20,9961.47,10035.20,10076.16,10108.93,10108.93,10108.93,10108.93,10108.93,15
./wrk8/wrk_4003_w_Light.txt,50,400,1,15.00,27.18,51.33,166.40,224.90,267.77,353.54,417.79,14.38,26.41,50.62,165.76,224.25,266.75,353.28,417.54,72050
./wrk8/wrk_5003_r_Heavy.txt,3,3,0,96403.46,132317.18,155582.46,170262.53,170262.53,170262.53,170262.53,170262.53,10059.77,10551.30,11190.27,12214.27,12214.27,12214.27,12214.27,12214.27,14
./wrk8/wrk_5003_r_Heavy.txt,3,3,0,94044.16,130613.25,153092.10,170917.89,170917.89,170917.89,170917.89,170917.89,9961.47,10002.43,10764.29,15417.34,15417.34,15417.34,15417.34,15417.34,14
./wrk8/wrk_5003_r_Heavy.txt,3,3,0,90767.36,138149.89,161218.56,173408.26,173408.26,173408.26,173408.26,173408.26,10059.77,10919.93,11354.11,14352.38,14352.38,14352.38,14352.38,14352.38,14
./wrk8/wrk_5003_r_Light.txt,50,500,0,17.14,49.25,112.77,264.70,406.01,413.95,438.01,451.58,16.50,48.58,112.06,264.19,405.50,413.18,436.99,451.33,90050
./wrk8/wrk_5003_w_Heavy.txt,3,3,1,95223.81,141819.90,165281.79,177471.49,177471.49,177471.49,177471.49,177471.49,9961.47,10010.62,10256.38,10780.67,10780.67,10780.67,10780.67,10780.67,15
./wrk8/wrk_5003_w_Heavy.txt,3,3,1,93782.01,129564.67,164364.29,176553.98,176553.98,176553.98,176553.98,176553.98,9953.28,9961.47,10076.16,10117.12,10117.12,10117.12,10117.12,10117.12,15
./wrk8/wrk_5003_w_Heavy.txt,3,3,1,93388.80,129236.99,164102.14,176553.98,176553.98,176553.98,176553.98,176553.98,9936.90,9977.85,10141.69,10215.42,10215.42,10215.42,10215.42,10215.42,15
./wrk8/wrk_5003_w_Light.txt,50,500,1,23.01,43.97,89.41,180.86,225.28,271.62,323.58,324.10,22.37,43.30,88.70,180.22,224.38,270.85,323.33,323.33,90050
./wrk8/wrk_6003_r_Heavy.txt,3,3,0,89718.78,139591.68,162136.06,177078.27,177078.27,177078.27,177078.27,177078.27,9986.05,10477.57,12697.60,16809.98,16809.98,16809.98,16809.98,16809.98,14
./wrk8/wrk_6003_r_Heavy.txt,3,3,0,87883.77,135659.52,158728.19,171048.96,171048.96,171048.96,171048.96,171048.96,10076.16,10354.69,10403.84,14237.69,14237.69,14237.69,14237.69,14237.69,14
./wrk8/wrk_6003_r_Heavy.txt,3,3,0,83886.08,131203.07,156368.89,168558.59,168558.59,168558.59,168558.59,168558.59,10010.62,10125.31,10780.67,12410.88,12410.88,12410.88,12410.88,12410.88,15
./wrk8/wrk_6003_r_Light.txt,50,600,0,25.50,68.61,163.84,333.06,418.05,460.29,504.32,516.86,24.82,67.97,163.20,332.29,417.54,459.52,503.55,515.33,108047
./wrk8/wrk_6003_w_Heavy.txt,3,3,1,85721.09,132579.33,155451.39,167772.16,167772.16,167772.16,167772.16,167772.16,10002.43,10117.12,11403.26,11894.78,11894.78,11894.78,11894.78,11894.78,15
./wrk8/wrk_6003_w_Heavy.txt,3,3,1,86245.38,133496.83,156368.89,168689.66,168689.66,168689.66,168689.66,168689.66,10084.35,10190.85,10371.07,12664.83,12664.83,12664.83,12664.83,12664.83,15
./wrk8/wrk_6003_w_Heavy.txt,3,3,1,82313.21,133496.83,155975.68,168296.45,168296.45,168296.45,168296.45,168296.45,9961.47,10084.35,12034.05,12156.93,12156.93,12156.93,12156.93,12156.93,15
./wrk8/wrk_6003_w_Light.txt,50,600,1,28.46,48.00,104.89,220.29,287.49,361.98,441.09,545.79,27.76,47.30,104.25,219.65,286.98,361.73,440.06,545.79,108050
